,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
236,23148,03,05,07,09,19,20,08
237,23147,05,06,14,16,19,32,12
238,23146,02,03,06,11,20,32,09
239,23145,07,10,21,22,23,24,11
240,23144,12,16,17,22,25,27,08
241,23143,05,07,09,16,23,30,15
242,23142,02,08,20,21,27,33,14
243,23141,01,08,11,12,21,23,03
244,23140,03,04,11,14,30,31,05
245,23139,12,14,19,21,27,31,11
246,23138,03,22,28,30,31,33,04
247,23137,03,12,17,19,23,27,11
248,23136,03,05,10,21,22,26,10
249,23135,05,06,11,13,28,30,07
250,23134,05,08,09,17,22,33,04
251,23133,04,05,10,14,22,25,03
252,23132,03,09,11,15,25,27,01
253,23131,06,07,14,20,26,32,01
254,23130,04,10,17,22,23,32,16
255,23129,08,09,12,17,32,33,04
256,23128,07,16,20,21,27,33,01
257,23127,03,08,19,22,26,32,14
258,23126,10,24,26,28,29,31,16
259,23125,11,14,15,27,30,33,04
260,23124,02,03,17,18,25,30,11
261,23123,10,13,15,22,29,32,15
262,23122,07,08,14,18,20,30,05
263,23121,02,12,16,25,30,31,12
264,23120,03,08,13,24,27,29,08
265,23119,01,02,03,19,21,28,15
266,23118,01,02,11,19,25,29,04
267,23117,02,11,14,17,18,28,08
268,23116,02,08,09,13,24,27,12
269,23115,02,07,16,21,26,27,16
270,23114,07,09,15,16,17,26,09
271,23113,01,02,13,18,25,27,03
272,23112,09,12,13,22,24,31,04
273,23111,05,06,12,17,20,33,09
274,23110,02,06,20,25,29,33,16
275,23109,06,08,10,13,16,28,13
276,23108,01,03,06,08,18,24,09
277,23107,03,07,18,25,29,33,14
278,23106,07,09,10,20,22,24,07
279,23105,01,03,05,26,30,32,16
280,23104,10,19,23,25,30,31,12
281,23103,05,06,13,24,25,29,15
282,23102,01,09,10,13,21,28,10
283,23101,01,05,09,15,18,26,04
284,23100,05,06,12,15,23,25,04
285,23099,09,11,14,19,27,33,05
286,23098,02,10,11,14,21,27,11
287,23097,01,09,14,19,29,30,15
288,23096,08,11,18,26,31,32,15
289,23095,03,08,16,17,22,26,11
290,23094,06,10,12,14,30,31,12
291,23093,10,21,24,25,27,32,07
292,23092,03,12,24,25,32,33,13
293,23091,16,20,22,26,30,32,16
294,23090,01,02,09,26,30,31,07
295,23089,08,13,15,27,28,31,11
296,23088,01,14,18,26,31,33,05
297,23087,02,09,15,17,28,33,01
298,23086,08,09,10,22,26,32,12
299,23085,11,18,23,24,31,33,13
300,23084,09,13,14,17,19,27,03
301,23083,07,10,12,16,17,30,12
302,23082,04,18,19,24,27,30,16
303,23081,01,11,15,16,22,31,15
304,23080,01,02,04,09,25,31,08
305,23079,05,06,09,12,21,22,07
306,23078,06,08,14,19,30,31,08
307,23077,07,09,14,22,26,27,01
308,23076,03,04,15,18,19,22,09
309,23075,13,15,24,28,30,31,01
310,23074,02,08,09,18,19,21,03
311,23073,01,03,15,16,25,32,10
312,23072,02,06,10,24,25,33,09
313,23071,05,12,15,19,24,26,06
314,23070,03,05,25,31,32,33,04
315,23069,12,14,17,20,21,26,02
316,23068,11,12,15,18,29,33,02
317,23067,01,03,12,19,28,32,14
318,23066,02,07,08,10,26,31,06
319,23065,02,14,17,20,26,33,14
320,23064,01,07,11,12,16,18,04
321,23063,04,08,17,20,22,27,13
322,23062,11,19,23,24,26,33,15
323,23061,01,04,06,11,12,22,15
324,23060,09,11,17,19,30,31,11
325,23059,02,06,13,22,27,32,06
326,23058,10,17,22,26,30,33,11
327,23057,02,05,10,17,24,32,03
328,23056,08,14,15,18,23,33,08
329,23055,03,04,20,23,27,32,13
